id_dok;Prayer and Divine Help;The Danish Church and National Identity;Christmas and Incarnation;The Mercy and Judgment of God;Serving God in Life and Ministry ;Divine Will and Worldly Challenges;Personal Encounters with Christ;Wealth, Poverty, and Spiritual Riches;Sin, Forgiveness, and Salvation;The Holy Spirit and Divine Inspiration;The people of Israel;Jesus and the sinners;Discipleship and Following Jesus;The love and sacrifice of Christ;Death, Resurrection, and Eternal Life;Forgiveness;Life and Daily Sustenance;The law and moral Obligation;Light/Darkness, and Spiritual Fruitfulness;Power and freedom;Human Interaction and  Evangelism;The Name of Jesus;The Word and Peace of God in Turmoil;Jesus and his earthly ministry;The word of God and its reception;Wealth, Poverty, and Spiritual Riches2;Truth, Lies, and Spiritual Warfare;Narratives of Jesus;Faith and doubt;Life’s Path and Divine Guidance
pr1608_379;0.0009345794000000001;0.2345794393;0.010280373800000001;0.0009345794000000001;0.010280373800000001;0.0009345794000000001;0.0009345794000000001;0.0943925234;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.038317757;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.010280373800000001;0.0570093458;0.0570093458;0.30000000000000004;0.0009345794000000001;0.11308411210000001;0.0570093458;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001;0.0009345794000000001
pr946_273;0.0002659574;0.23430851060000002;0.0002659574;0.0055851064;0.0002659574;0.1199468085;0.18377659570000002;0.0135638298;0.0002659574;0.08803191490000001;0.0534574468;0.0002659574;0.1199468085;0.0135638298;0.0002659574;0.0002659574;0.0029255319;0.0082446809;0.0002659574;0.0002659574;0.0002659574;0.0002659574;0.07473404260000001;0.0002659574;0.0002659574;0.0002659574;0.0002659574;0.026861702100000003;0.0002659574;0.050797872300000005
pr1616_379;0.0435483871;0.2317204301;0.0327956989;0.0005376344;0.0005376344;0.011290322600000001;0.0059139785;0.0005376344;0.022043010800000002;0.1349462366;0.0005376344;0.0005376344;0.0005376344;0.0005376344;0.0811827957;0.0005376344;0.0005376344;0.0005376344;0.0005376344;0.0005376344;0.0543010753;0.1295698925;0.0919354839;0.0005376344;0.0005376344;0.0059139785;0.1349462366;0.0005376344;0.011290322600000001;0.0005376344
pr134_19;0.021204188500000002;0.2280104712;0.0002617801;0.0002617801;0.0395287958;0.0002617801;0.2437172775;0.0369109948;0.0002617801;0.0002617801;0.015968586400000002;0.1023560209;0.029057591600000002;0.0081151832;0.0002617801;0.0185863874;0.0369109948;0.0552356021;0.0002617801;0.0447643979;0.0002617801;0.0054973822;0.0002617801;0.0002617801;0.0369109948;0.0002617801;0.0447643979;0.029057591600000002;0.0002617801;0.0002617801
pr132_19;0.0507959479;0.2259044863;0.0073806078;0.0276410999;0.0218523878;0.11157742400000001;0.1795947902;0.0001447178;0.0204052098;0.0522431259;0.0117221418;0.0015918958000000001;0.0001447178;0.0001447178;0.0319826339;0.0015918958000000001;0.0001447178;0.0001447178;0.0001447178;0.0001447178;0.0232995658;0.0623733719;0.0001447178;0.0073806078;0.0363241679;0.043560057900000004;0.0276410999;0.0044862518;0.0001447178;0.0493487699
pr131_19;0.026929133900000003;0.21118110240000001;0.0096062992;0.052125984300000004;0.0159055118;0.0883464567;0.1985826772;0.0190551181;0.0033070866;0.017480315;0.0080314961;0.0001574803;0.030078740200000002;0.0222047244;0.0001574803;0.0001574803;0.0190551181;0.0426771654;0.012755905500000001;0.0001574803;0.0080314961;0.0568503937;0.012755905500000001;0.0237795276;0.0001574803;0.0395275591;0.07102362200000001;0.0001574803;0.0001574803;0.0096062992
pr115_19;0.0674731183;0.2099462366;0.0002688172;0.011021505400000001;0.09704301080000001;0.005645161300000001;0.2180107527;0.0083333333;0.0002688172;0.0002688172;0.0325268817;0.0002688172;0.048655914;0.0002688172;0.0002688172;0.0190860215;0.005645161300000001;0.0594086022;0.0002688172;0.0002688172;0.0002688172;0.0083333333;0.0002688172;0.0002688172;0.0647849462;0.0029569892;0.0325268817;0.0405913978;0.0083333333;0.056720430100000004
pr95_19;0.0773364486;0.1871495327;0.0119158879;0.0002336449;0.023598130800000002;0.08200934580000001;0.3460280374;0.0002336449;0.0002336449;0.0002336449;0.0002336449;0.009579439300000001;0.009579439300000001;0.0002336449;0.014252336400000001;0.0002336449;0.0002336449;0.030607476600000003;0.0025700935;0.0072429907;0.0002336449;0.1053738318;0.0212616822;0.0002336449;0.014252336400000001;0.0212616822;0.009579439300000001;0.0119158879;0.0119158879;0.0002336449
pr1027_303;0.0003496503;0.18566433570000002;0.0003496503;0.0003496503;0.0073426573;0.052797202800000005;0.2241258741;0.2451048951;0.0003496503;0.0318181818;0.0003496503;0.0003496503;0.0003496503;0.0003496503;0.0003496503;0.042307692300000005;0.0003496503;0.0003496503;0.0458041958;0.0143356643;0.0003496503;0.0003496503;0.0003496503;0.0003496503;0.0108391608;0.024825174800000002;0.0003496503;0.0073426573;0.0038461538;0.0982517483
pr635_104;0.0319915254;0.18241525420000002;0.0002118644;0.0447033898;0.0002118644;0.0658898305;0.0913135593;0.0002118644;0.0108050847;0.1019067797;0.0002118644;0.0023305085;0.0574152542;0.0002118644;0.0108050847;0.0002118644;0.0002118644;0.0002118644;0.0065677966;0.0256355932;0.0235169492;0.07224576270000001;0.1781779661;0.0235169492;0.0023305085;0.0002118644;0.0002118644;0.0002118644;0.0002118644;0.0658898305
pr105_19;0.00043290040000000003;0.1822510823;0.00043290040000000003;0.0567099567;0.0307359307;0.0134199134;0.2471861472;0.0090909091;0.0134199134;0.0090909091;0.0307359307;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003;0.0134199134;0.00043290040000000003;0.00043290040000000003;0.0047619048;0.12597402600000002;0.1735930736;0.0523809524;0.00043290040000000003;0.00043290040000000003;0.0307359307;0.00043290040000000003;0.00043290040000000003;0.00043290040000000003
pr493_75;0.0003472222;0.1809027778;0.0003472222;0.2017361111;0.0003472222;0.059375;0.048958333300000004;0.0038194444;0.0003472222;0.0003472222;0.0871527778;0.0177083333;0.0038194444;0.0003472222;0.0107638889;0.0003472222;0.0003472222;0.0003472222;0.055902777800000004;0.0003472222;0.0003472222;0.0003472222;0.0003472222;0.0003472222;0.0003472222;0.0003472222;0.0003472222;0.1809027778;0.0003472222;0.14270833330000002
pr88_19;0.0187830688;0.1695767196;0.0002645503;0.0293650794;0.0267195767;0.0108465608;0.25158730160000004;0.0002645503;0.0002645503;0.032010582;0.0002645503;0.0558201058;0.0002645503;0.0637566138;0.0055555556;0.0002645503;0.021428571400000002;0.032010582;0.0002645503;0.0002645503;0.0002645503;0.0267195767;0.032010582;0.0002645503;0.0002645503;0.0029100529;0.0981481481;0.0055555556;0.0849206349;0.0293650794
pr871_170;0.019804401000000003;0.1689486553;0.0124694377;0.0002444988;0.0051344743000000005;0.0344743276;0.117603912;0.0002444988;0.0638141809;0.2447432763;0.0002444988;0.0002444988;0.16405867970000002;0.0002444988;0.0393643032;0.0002444988;0.0002444988;0.0002444988;0.0002444988;0.0002444988;0.0002444988;0.0002444988;0.0002444988;0.022249388800000002;0.0344743276;0.0002444988;0.0002444988;0.0002444988;0.0149144254;0.0540342298
pr1250_379;0.0007462687;0.1649253731;0.0007462687;0.0007462687;0.0007462687;0.060447761200000005;0.0679104478;0.0902985075;0.0007462687;0.0007462687;0.0007462687;0.0007462687;0.0007462687;0.0007462687;0.0156716418;0.0007462687;0.0007462687;0.0007462687;0.0007462687;0.0380597015;0.0007462687;0.1052238806;0.31417910450000003;0.0007462687;0.0380597015;0.08283582090000001;0.0007462687;0.0007462687;0.0082089552;0.0007462687
pr152_22;0.0002724796;0.1610354223;0.054768392400000004;0.0002724796;0.0002724796;0.049318801100000004;0.2346049046;0.0002724796;0.0111716621;0.0002724796;0.2100817439;0.0002724796;0.0057220708;0.0002724796;0.030245231600000002;0.0002724796;0.057493188;0.0084468665;0.0057220708;0.0029972752000000003;0.0002724796;0.0002724796;0.0683923706;0.0002724796;0.0002724796;0.0002724796;0.0711171662;0.0002724796;0.013896457800000001;0.0111716621
pr283_38;0.0699224806;0.1551937984;0.0001550388;0.0017054264;0.0001550388;0.0389147287;0.060620155;0.0203100775;0.09937984500000001;0.09937984500000001;0.060620155;0.037364341100000004;0.023410852700000002;0.0001550388;0.004806201600000001;0.004806201600000001;0.0017054264;0.011007751900000001;0.011007751900000001;0.0389147287;0.0249612403;0.0342635659;0.0001550388;0.0001550388;0.0001550388;0.0001550388;0.0001550388;0.0420155039;0.0001550388;0.15829457360000002
pr1283_374;0.0003125;0.1503125;0.0003125;0.0003125;0.0003125;0.0471875;0.09093749999999999;0.11906249999999999;0.0003125;0.0190625;0.0003125;0.0003125;0.0003125;0.0003125;0.0003125;0.10656249999999999;0.0190625;0.0003125;0.028437499999999998;0.0003125;0.0784375;0.0190625;0.1315625;0.0003125;0.0003125;0.0128125;0.028437499999999998;0.025312499999999998;0.0003125;0.11906249999999999
pr172_24;0.009117647100000001;0.1502941176;0.00029411760000000003;0.0061764706;0.00029411760000000003;0.0385294118;0.00029411760000000003;0.0267647059;0.012058823500000001;0.0061764706;0.015;0.0061764706;0.0385294118;0.00029411760000000003;0.0208823529;0.059117647100000004;0.0032352941;0.00029411760000000003;0.00029411760000000003;0.00029411760000000003;0.0561764706;0.053235294100000004;0.00029411760000000003;0.00029411760000000003;0.47676470590000003;0.0061764706;0.0032352941;0.00029411760000000003;0.00029411760000000003;0.009117647100000001
pr1010_116;0.0570149254;0.14656716420000002;0.0002985075;0.0002985075;0.0032835821;0.1286567164;0.188358209;0.012238806000000001;0.0152238806;0.06;0.107761194;0.0002985075;0.0002985075;0.0002985075;0.0002985075;0.0002985075;0.0002985075;0.0002985075;0.0002985075;0.0002985075;0.0898507463;0.0241791045;0.0092537313;0.0002985075;0.0749253731;0.0002985075;0.0182089552;0.0002985075;0.0002985075;0.06
pr1670_71;0.0004219409;0.1396624473;0.0004219409;0.0552742616;0.0004219409;0.0679324895;0.09324894510000001;0.0004219409;0.0004219409;0.0172995781;0.0046413502;0.0257383966;0.07215189870000001;0.09324894510000001;0.046835443000000004;0.0004219409;0.0004219409;0.0088607595;0.0004219409;0.06371308020000001;0.0004219409;0.059493670900000004;0.0004219409;0.0004219409;0.08481012660000001;0.0004219409;0.1016877637;0.059493670900000004;0.0004219409;0.0004219409
pr77_19;0.0002590674;0.13497409330000001;0.057253886000000004;0.049481865300000004;0.160880829;0.020984456000000002;0.19455958550000002;0.0028497409000000002;0.0002590674;0.0132124352;0.0002590674;0.0002590674;0.0261658031;0.0002590674;0.0028497409000000002;0.0002590674;0.0002590674;0.0002590674;0.0235751295;0.0002590674;0.0158031088;0.0883419689;0.0468911917;0.0002590674;0.0650259067;0.0002590674;0.0443005181;0.0235751295;0.0002590674;0.0261658031
pr79_19;0.029057591600000002;0.1337696335;0.0002617801;0.0002617801;0.0421465969;0.0002617801;0.19921465970000002;0.0342931937;0.0054973822;0.08926701570000001;0.0604712042;0.0185863874;0.0002617801;0.0002617801;0.0735602094;0.0238219895;0.047382199;0.0107329843;0.013350785300000001;0.0002617801;0.0002617801;0.0342931937;0.0002617801;0.0081151832;0.0421465969;0.021204188500000002;0.0185863874;0.0369109948;0.0002617801;0.0552356021
pr130_19;0.0065263158;0.1307368421;0.0423157895;0.1075789474;0.00021052630000000002;0.0675789474;0.156;0.0170526316;0.0212631579;0.014947368400000001;0.014947368400000001;0.076;0.029684210500000002;0.036000000000000004;0.014947368400000001;0.00021052630000000002;0.00021052630000000002;0.025473684200000003;0.0023157895;0.00021052630000000002;0.0633684211;0.00021052630000000002;0.00021052630000000002;0.0191578947;0.00021052630000000002;0.0275789474;0.0633684211;0.0486315789;0.0044210526;0.0086315789
pr1218_382;0.0037234043;0.1296099291;0.00017730500000000002;0.00017730500000000002;0.009042553200000001;0.028546099300000002;0.0019503546;0.00017730500000000002;0.037411347500000004;0.27145390070000003;0.00017730500000000002;0.0125886525;0.1313829787;0.00017730500000000002;0.0569148936;0.00017730500000000002;0.0445035461;0.00017730500000000002;0.00017730500000000002;0.0143617021;0.07819148940000001;0.0214539007;0.0994680851;0.0019503546;0.0445035461;0.0019503546;0.009042553200000001;0.00017730500000000002;0.00017730500000000002;0.00017730500000000002
pr1622_104;0.0441077441;0.1282828283;0.0003367003;0.0003367003;0.0003367003;0.1754208754;0.23602693600000002;0.0003367003;0.0003367003;0.09461279460000001;0.0003367003;0.0003367003;0.0003367003;0.0306397306;0.0306397306;0.047474747500000004;0.0003367003;0.0878787879;0.0037037037000000003;0.0003367003;0.0003367003;0.0037037037000000003;0.09461279460000001;0.0003367003;0.0003367003;0.0003367003;0.017171717200000002;0.0003367003;0.0003367003;0.0003367003
pr1672_258;0.0002816901;0.1214084507;0.0002816901;0.0002816901;0.0002816901;0.0143661972;0.0509859155;0.0002816901;0.1045070423;0.1495774648;0.14676056340000002;0.0030985915;0.0002816901;0.0763380282;0.0002816901;0.0002816901;0.0002816901;0.0002816901;0.0002816901;0.034084507;0.0002816901;0.0397183099;0.0791549296;0.0002816901;0.0002816901;0.0284507042;0.005915493;0.0002816901;0.1383098592;0.0030985915
pr1239_379;0.0080882353;0.1183823529;0.1110294118;0.1625;0.0522058824;0.0227941176;0.0007352941;0.0522058824;0.0007352941;0.0007352941;0.059558823500000004;0.0007352941;0.0007352941;0.0007352941;0.0007352941;0.0007352941;0.0301470588;0.0007352941;0.0007352941;0.0301470588;0.0080882353;0.0007352941;0.2801470588;0.0007352941;0.0007352941;0.0080882353;0.0007352941;0.0080882353;0.0301470588;0.0080882353
pr102_19;0.000304878;0.1161585366;0.000304878;0.000304878;0.006402439;0.0887195122;0.1405487805;0.0429878049;0.000304878;0.000304878;0.000304878;0.0307926829;0.027743902400000003;0.000304878;0.006402439;0.0033536585;0.024695122;0.0460365854;0.000304878;0.0307926829;0.027743902400000003;0.000304878;0.0429878049;0.006402439;0.0429878049;0.000304878;0.274695122;0.0368902439;0.000304878;0.000304878
pr60_17;0.004505814;0.1149709302;0.0001453488;0.1513081395;0.0030523256;0.2981104651;0.1077034884;0.0001453488;0.021947674400000002;0.0088662791;0.06409883720000001;0.0001453488;0.0408430233;0.0001453488;0.0001453488;0.0001453488;0.0001453488;0.0001453488;0.0452034884;0.0015988372000000002;0.0001453488;0.0001453488;0.0001453488;0.0001453488;0.08299418600000001;0.0001453488;0.0001453488;0.0001453488;0.0001453488;0.0524709302
pr1611_379;0.0010989011;0.11098901100000001;0.0010989011;0.0120879121;0.0010989011;0.0340659341;0.056043956000000006;0.0120879121;0.0340659341;0.0010989011;0.0010989011;0.0010989011;0.0230769231;0.0010989011;0.1659340659;0.11098901100000001;0.0230769231;0.0010989011;0.0010989011;0.0010989011;0.143956044;0.0010989011;0.2098901099;0.0120879121;0.0010989011;0.0010989011;0.0340659341;0.0010989011;0.0010989011;0.0010989011
pr93_19;0.00028490030000000003;0.1085470085;0.014529914500000001;0.00028490030000000003;0.06296296300000001;0.011680911700000001;0.2965811966;0.0316239316;0.00028490030000000003;0.0344729345;0.00028490030000000003;0.00028490030000000003;0.0088319088;0.0259259259;0.00028490030000000003;0.00028490030000000003;0.0715099715;0.00028490030000000003;0.043019943000000005;0.00028490030000000003;0.00028490030000000003;0.1256410256;0.0544159544;0.00028490030000000003;0.00028490030000000003;0.0458689459;0.011680911700000001;0.043019943000000005;0.0031339031;0.0031339031
pr918_256;0.0330601093;0.1068306011;0.1013661202;0.000273224;0.000273224;0.12595628420000002;0.1478142077;0.000273224;0.000273224;0.0112021858;0.0112021858;0.000273224;0.1860655738;0.000273224;0.024863388;0.000273224;0.0084699454;0.024863388;0.000273224;0.000273224;0.0385245902;0.000273224;0.068579235;0.000273224;0.000273224;0.0057377049000000005;0.000273224;0.0084699454;0.000273224;0.0931693989
pr84_19;0.0143661972;0.1045070423;0.005915493;0.0904225352;0.0002816901;0.0002816901;0.26788732390000003;0.0002816901;0.0312676056;0.0002816901;0.0002816901;0.059436619700000005;0.0143661972;0.048169014100000004;0.0002816901;0.0002816901;0.0622535211;0.0002816901;0.0002816901;0.0284507042;0.0650704225;0.0397183099;0.017183098600000002;0.0002816901;0.0791549296;0.0002816901;0.0678873239;0.0002816901;0.0002816901;0.0002816901
pr728_91;0.0003636364;0.0985454545;0.0185454545;0.0149090909;0.0003636364;0.0003636364;0.0076363636;0.0003636364;0.0003636364;0.0221818182;0.0003636364;0.0403636364;0.0003636364;0.0003636364;0.0003636364;0.1349090909;0.1421818182;0.0149090909;0.0003636364;0.0112727273;0.1458181818;0.124;0.0003636364;0.0003636364;0.08036363640000001;0.0185454545;0.0003636364;0.0003636364;0.0112727273;0.1094545455
pr1627_379;0.0720779221;0.09805194810000001;0.0006493506;0.059090909100000005;0.0006493506;0.0006493506;0.0006493506;0.0461038961;0.0006493506;0.0006493506;0.32532467530000003;0.0006493506;0.0006493506;0.0136363636;0.0006493506;0.0006493506;0.0006493506;0.0006493506;0.0006493506;0.0071428571;0.026623376600000002;0.0006493506;0.2019480519;0.0006493506;0.0006493506;0.0006493506;0.0461038961;0.039610389600000004;0.0006493506;0.0525974026
pr1394_379;0.0010638298000000001;0.09680851060000001;0.0010638298000000001;0.0117021277;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.2670212766;0.0329787234;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.0117021277;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.0117021277;0.0010638298000000001;0.0329787234;0.2563829787;0.2457446809;0.0010638298000000001;0.0117021277;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001;0.0010638298000000001
pr94_19;0.019365079400000002;0.09555555560000001;0.057460317500000004;0.00031746030000000003;0.0352380952;0.00031746030000000003;0.2415873016;0.0225396825;0.00031746030000000003;0.00031746030000000003;0.00031746030000000003;0.0384126984;0.00031746030000000003;0.00031746030000000003;0.1495238095;0.00031746030000000003;0.00031746030000000003;0.00031746030000000003;0.019365079400000002;0.00031746030000000003;0.00031746030000000003;0.0733333333;0.00031746030000000003;0.0034920635000000003;0.0098412698;0.00031746030000000003;0.0320634921;0.0415873016;0.1304761905;0.025714285700000002
pr470_427;0.0003322259;0.0933554817;0.0069767442;0.0534883721;0.0003322259;0.0435215947;0.10996677740000001;0.0003322259;0.0003322259;0.1166112957;0.0003322259;0.0003322259;0.076744186;0.0003322259;0.0401993355;0.0003322259;0.0003322259;0.0003322259;0.0634551495;0.0534883721;0.0667774086;0.0202657807;0.11328903650000001;0.0003322259;0.0003322259;0.0003322259;0.0003322259;0.0003322259;0.0800664452;0.0568106312
pr91_19;0.023478260900000002;0.09304347830000001;0.00028985510000000003;0.0698550725;0.00028985510000000003;0.0495652174;0.15971014490000002;0.008985507200000001;0.00028985510000000003;0.0292753623;0.00028985510000000003;0.0147826087;0.011884058000000001;0.06695652170000001;0.00028985510000000003;0.00028985510000000003;0.1104347826;0.00028985510000000003;0.00028985510000000003;0.0176811594;0.0408695652;0.055362318800000004;0.0437681159;0.0350724638;0.00028985510000000003;0.037971014500000004;0.0147826087;0.055362318800000004;0.00028985510000000003;0.0582608696
pr154_24;0.0050847458;0.092251816;0.00024213080000000002;0.036561743300000005;0.00024213080000000002;0.0341404358;0.0801452785;0.00024213080000000002;0.0317191283;0.00024213080000000002;0.0486682809;0.0486682809;0.00024213080000000002;0.00024213080000000002;0.0026634383000000003;0.0220338983;0.00024213080000000002;0.00024213080000000002;0.00024213080000000002;0.0147699758;0.0680387409;0.0486682809;0.08256658600000001;0.00024213080000000002;0.3319612591;0.0486682809;0.00024213080000000002;0.00024213080000000002;0.00024213080000000002;0.00024213080000000002
pr116_19;0.0079283887;0.089769821;0.0002557545;0.1153452685;0.06930946290000001;0.0028132992;0.3225063939;0.0488491049;0.0002557545;0.0002557545;0.0002557545;0.0488491049;0.0002557545;0.0002557545;0.0002557545;0.0002557545;0.030946291600000002;0.0104859335;0.0181585678;0.0002557545;0.0002557545;0.053964194400000005;0.015601023;0.0335038363;0.0002557545;0.0411764706;0.0104859335;0.025831202;0.0002557545;0.0514066496
pr1084_321;0.00019723870000000002;0.0889546351;0.00019723870000000002;0.008086785;0.00019723870000000002;0.0455621302;0.10276134120000001;0.14220907300000002;0.0021696252;0.00019723870000000002;0.00019723870000000002;0.008086785;0.15404339250000001;0.00019723870000000002;0.0909270217;0.2053254438;0.00019723870000000002;0.00019723870000000002;0.0021696252;0.0100591716;0.00019723870000000002;0.0061143984;0.021893491100000002;0.00019723870000000002;0.00019723870000000002;0.00019723870000000002;0.00019723870000000002;0.00019723870000000002;0.0278106509;0.0810650888
pr89_19;0.0125;0.08848039220000001;0.000245098;0.0517156863;0.0198529412;0.0419117647;0.20367647060000002;0.022303921600000002;0.0517156863;0.000245098;0.0345588235;0.21838235290000002;0.000245098;0.000245098;0.000245098;0.014950980400000001;0.0321078431;0.000245098;0.000245098;0.000245098;0.0296568627;0.0370098039;0.000245098;0.000245098;0.0321078431;0.0051470588;0.0394607843;0.0615196078;0.000245098;0.000245098
pr1610_379;0.0008547009;0.0863247863;0.0094017094;0.0008547009;0.0179487179;0.0094017094;0.0008547009;0.0008547009;0.0008547009;0.0094017094;0.0008547009;0.0008547009;0.0008547009;0.0008547009;0.0863247863;0.0008547009;0.0008547009;0.0008547009;0.0008547009;0.0008547009;0.0008547009;0.1290598291;0.4965811966;0.0008547009;0.0008547009;0.0008547009;0.0863247863;0.0435897436;0.0008547009;0.0094017094
pr66_19;0.0003571429;0.0860714286;0.0182142857;0.0003571429;0.007500000000000001;0.061071428600000005;0.3217857143;0.0003571429;0.0253571429;0.0467857143;0.0039285714;0.0003571429;0.11107142860000001;0.0003571429;0.0003571429;0.0039285714;0.0003571429;0.028928571400000002;0.0003571429;0.0003571429;0.007500000000000001;0.0182142857;0.0003571429;0.1003571429;0.0003571429;0.0325;0.0682142857;0.0110714286;0.0003571429;0.0432142857
